x,y,z,qx,qy,qz,qw,vx,vy,vz,vroll,vpitch,vyaw,ax,ay,az,aroll,apitch,ayaw
0.554499,0,0.624502,0.923898,-0.382638,8.49627e-17,2.05147e-16,-0,-0,-0,0,0,0,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554499,-2.88675e-08,0.624502,0.923898,-0.382638,-7.25992e-08,-5.08398e-08,-5.7735e-05,-5.7735e-05,-5.7735e-05,0.000299,0.000190484,0.000299,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554499,-1.1547e-07,0.624502,0.923898,-0.382638,-2.90397e-07,-2.03359e-07,-0.00011547,-0.00011547,-0.00011547,0.000598001,0.000380968,0.000598001,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554499,-2.59808e-07,0.624502,0.923898,-0.382637,-6.53393e-07,-4.57559e-07,-0.000173205,-0.000173205,-0.000173205,0.000897001,0.000571453,0.000897001,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554499,-4.6188e-07,0.624502,0.923899,-0.382637,-1.16159e-06,-8.13438e-07,-0.00023094,-0.00023094,-0.00023094,0.001196,0.000761937,0.001196,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554498,-7.21688e-07,0.624501,0.923899,-0.382636,-1.81498e-06,-1.271e-06,-0.000288675,-0.000288675,-0.000288675,0.001495,0.000952421,0.001495,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554498,-1.03923e-06,0.624501,0.923899,-0.382635,-2.61357e-06,-1.83023e-06,-0.00034641,-0.00034641,-0.00034641,0.001794,0.00114291,0.001794,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554498,-1.41451e-06,0.624501,0.923899,-0.382635,-3.55736e-06,-2.49115e-06,-0.000404145,-0.000404145,-0.000404145,0.002093,0.00133339,0.002093,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554497,-1.84752e-06,0.6245,0.9239,-0.382634,-4.64635e-06,-3.25375e-06,-0.00046188,-0.00046188,-0.00046188,0.002392,0.00152387,0.002392,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554497,-2.33827e-06,0.6245,0.9239,-0.382632,-5.88054e-06,-4.11803e-06,-0.000519615,-0.000519615,-0.000519615,0.002691,0.00171436,0.002691,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554496,-2.88675e-06,0.624499,0.923901,-0.382631,-7.25992e-06,-5.08398e-06,-0.00057735,-0.00057735,-0.00057735,0.00299,0.00190484,0.00299,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554496,-3.49297e-06,0.624499,0.923902,-0.38263,-8.78451e-06,-6.15162e-06,-0.000635085,-0.000635085,-0.000635085,0.003289,0.00209533,0.003289,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554495,-4.15692e-06,0.624498,0.923902,-0.382628,-1.04543e-05,-7.32094e-06,-0.00069282,-0.00069282,-0.00069282,0.003588,0.00228581,0.003588,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554494,-4.87861e-06,0.624497,0.923903,-0.382626,-1.22693e-05,-8.59193e-06,-0.000750555,-0.000750555,-0.000750555,0.003887,0.00247629,0.003887,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554493,-5.65803e-06,0.624496,0.923904,-0.382624,-1.42295e-05,-9.96461e-06,-0.00080829,-0.00080829,-0.00080829,0.004186,0.00266678,0.004186,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554493,-6.49519e-06,0.624496,0.923905,-0.382622,-1.63348e-05,-1.1439e-05,-0.000866025,-0.000866025,-0.000866025,0.004485,0.00285726,0.004485,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554492,-7.39008e-06,0.624495,0.923905,-0.38262,-1.85854e-05,-1.3015e-05,-0.00092376,-0.00092376,-0.00092376,0.004784,0.00304775,0.004784,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554491,-8.34271e-06,0.624494,0.923906,-0.382618,-2.09812e-05,-1.46927e-05,-0.000981495,-0.000981495,-0.000981495,0.005083,0.00323823,0.005083,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.55449,-9.35307e-06,0.624493,0.923907,-0.382616,-2.35222e-05,-1.64721e-05,-0.00103923,-0.00103923,-0.00103923,0.00538201,0.00342872,0.00538201,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554489,-1.04212e-05,0.624492,0.923908,-0.382613,-2.62083e-05,-1.83532e-05,-0.00109697,-0.00109697,-0.00109697,0.00568101,0.0036192,0.00568101,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554487,-1.1547e-05,0.62449,0.92391,-0.38261,-2.90397e-05,-2.03359e-05,-0.0011547,-0.0011547,-0.0011547,0.00598001,0.00380968,0.00598001,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554486,-1.27306e-05,0.624489,0.923911,-0.382608,-3.20163e-05,-2.24204e-05,-0.00121244,-0.00121244,-0.00121244,0.00627901,0.00400017,0.00627901,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554485,-1.39719e-05,0.624488,0.923912,-0.382605,-3.5138e-05,-2.46065e-05,-0.00127017,-0.00127017,-0.00127017,0.00657801,0.00419065,0.00657801,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554484,-1.52709e-05,0.624487,0.923913,-0.382601,-3.8405e-05,-2.68943e-05,-0.00132791,-0.00132791,-0.00132791,0.00687701,0.00438114,0.00687701,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554482,-1.66277e-05,0.624485,0.923915,-0.382598,-4.18172e-05,-2.92838e-05,-0.00138564,-0.00138564,-0.00138564,0.00717601,0.00457162,0.00717601,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554481,-1.80422e-05,0.624484,0.923916,-0.382595,-4.53745e-05,-3.17749e-05,-0.00144338,-0.00144338,-0.00144338,0.00747501,0.0047621,0.00747501,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554479,-1.95144e-05,0.624482,0.923917,-0.382591,-4.90771e-05,-3.43677e-05,-0.00150111,-0.00150111,-0.00150111,0.00777401,0.00495259,0.00777401,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554478,-2.10444e-05,0.624481,0.923919,-0.382588,-5.29249e-05,-3.70622e-05,-0.00155885,-0.00155885,-0.00155885,0.00807301,0.00514307,0.00807301,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554476,-2.26321e-05,0.624479,0.923921,-0.382584,-5.69178e-05,-3.98584e-05,-0.00161658,-0.00161658,-0.00161658,0.00837201,0.00533356,0.00837201,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
