x,y,z,qx,qy,qz,qw,vx,vy,vz,vroll,vpitch,vyaw,ax,ay,az,aroll,apitch,ayaw
0.491999,0.134,0.488,-0.707107,0.707107,-2.59735e-06,5.19367e-12,-0,-0,-0,0,0,0,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.491999,0.134,0.488,0.707107,-0.707107,2.51082e-06,-1.91885e-08,-5.7735e-05,-5.7735e-05,-5.7735e-05,0.000299,0.000190484,0.000299,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.491999,0.134,0.488,0.707107,-0.707107,2.25123e-06,-7.67384e-08,-0.00011547,-0.00011547,-0.00011547,0.000598001,0.000380968,0.000598001,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.491999,0.134,0.488,0.707107,-0.707107,1.81859e-06,-1.72655e-07,-0.000173205,-0.000173205,-0.000173205,0.000897001,0.000571453,0.000897001,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.491999,0.134,0.488,0.707108,-0.707106,1.21288e-06,-3.06938e-07,-0.00023094,-0.00023094,-0.00023094,0.001196,0.000761937,0.001196,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.491998,0.133999,0.487999,0.707108,-0.707106,4.34114e-07,-4.79588e-07,-0.000288675,-0.000288675,-0.000288675,0.001495,0.000952421,0.001495,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.491998,0.133999,0.487999,0.707109,-0.707105,-5.1771e-07,-6.90604e-07,-0.00034641,-0.00034641,-0.00034641,0.001794,0.00114291,0.001794,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.491998,0.133999,0.487999,0.707109,-0.707105,-1.64259e-06,-9.39987e-07,-0.000404145,-0.000404145,-0.000404145,0.002093,0.00133339,0.002093,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.491997,0.133998,0.487998,0.70711,-0.707104,-2.94053e-06,-1.22774e-06,-0.00046188,-0.00046188,-0.00046188,0.002392,0.00152387,0.002392,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.491997,0.133998,0.487998,0.707111,-0.707103,-4.41153e-06,-1.55385e-06,-0.000519615,-0.000519615,-0.000519615,0.002691,0.00171436,0.002691,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.491996,0.133997,0.487997,0.707112,-0.707102,-6.05559e-06,-1.91834e-06,-0.00057735,-0.00057735,-0.00057735,0.00299,0.00190484,0.00299,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.491996,0.133997,0.487997,0.707113,-0.707101,-7.87271e-06,-2.32119e-06,-0.000635085,-0.000635085,-0.000635085,0.003289,0.00209533,0.003289,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.491995,0.133996,0.487996,0.707115,-0.707099,-9.86289e-06,-2.7624e-06,-0.00069282,-0.00069282,-0.00069282,0.003588,0.00228581,0.003588,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.491994,0.133995,0.487995,0.707116,-0.707098,-1.20261e-05,-3.24198e-06,-0.000750555,-0.000750555,-0.000750555,0.003887,0.00247629,0.003887,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.491993,0.133994,0.487994,0.707117,-0.707097,-1.43624e-05,-3.75993e-06,-0.00080829,-0.00080829,-0.00080829,0.004186,0.00266678,0.004186,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.491993,0.133994,0.487994,0.707119,-0.707095,-1.68718e-05,-4.31625e-06,-0.000866025,-0.000866025,-0.000866025,0.004485,0.00285726,0.004485,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
